vehicle_id,vehicle_tier,driver_name,route,speed_kmh,fuel_level_pct,fuel_efficiency_kmpl,engine_health_score,cargo_weight_kg,engine_rpm,speed_category,fuel_status,is_night_shift,is_anomaly,alert_severity
GT-046,NEW,Satish Kumar,Pune-Nashik,65.75,57.29,39.28,100.0,6888,1430,FAST,NORMAL,0,0,NONE
GT-017,OLD,Sanjay Mishra,Mumbai-Pune,61.96,35.65,14.37,66.7,4658,3404,FAST,LOW,0,0,NONE
GT-038,NEW,Rohit Chauhan,Kolhapur-Mumbai,89.36,72.15,45.02,97.2,3500,1312,FAST,NORMAL,1,0,NONE
GT-038,NEW,Rohit Chauhan,Nashik-Nagpur,34.96,89.7,27.83,94.0,6101,1033,MODERATE,NORMAL,0,0,NONE
GT-028,MID,Prakash Nair,Nashik-Aurangabad,97.71,55.13,33.49,84.0,7863,2543,OVERSPEEDING,NORMAL,1,0,NONE
GT-013,OLD,Lokesh Verma,Solapur-Nagpur,78.45,55.43,14.81,72.1,3810,3101,FAST,NORMAL,1,0,NONE
GT-023,MID,Santosh Joshi,Goa-Pune,51.46,41.01,17.06,74.8,6486,2979,MODERATE,LOW,0,0,NONE
GT-043,NEW,Mahesh Iyer,Solapur-Nagpur,42.35,92.51,23.08,97.3,9432,1411,MODERATE,NORMAL,0,0,NONE
GT-005,OLD,Umesh Kapoor,Nashik-Aurangabad,105.19,21.07,17.58,63.3,5609,3998,OVERSPEEDING,LOW,1,1,WARNING
GT-012,OLD,Rakesh Gupta,Mumbai-Goa,51.1,38.28,8.72,75.1,5068,2797,MODERATE,LOW,0,0,NONE
GT-033,MID,Ganesh Rao,Pune-Aurangabad,49.85,49.03,20.59,75.3,4714,2726,MODERATE,LOW,0,0,NONE
GT-021,MID,Navin Joshi,Mumbai-Pune,79.95,77.25,27.82,81.4,8779,2222,FAST,NORMAL,1,0,NONE
GT-027,MID,Harish Tomar,Pune-Kolhapur,92.49,50.2,29.91,85.8,5280,2691,OVERSPEEDING,NORMAL,1,0,NONE
GT-039,NEW,Bharat Sharma,Mumbai-Nagpur,94.39,69.36,52.29,94.3,6362,1367,OVERSPEEDING,NORMAL,1,0,NONE
GT-022,MID,Satish Kumar,Solapur-Nagpur,75.46,53.49,23.38,84.7,2843,2636,FAST,NORMAL,0,0,NONE
GT-049,NEW,Harish Tomar,Pune-Kolhapur,72.17,96.09,41.57,100.0,5885,1486,FAST,NORMAL,1,0,NONE
GT-020,MID,Manoj Gupta,Mumbai-Solapur,69.72,62.79,26.66,77.9,5428,2611,FAST,NORMAL,0,0,NONE
GT-050,NEW,Anil Dubey,Mumbai-Nagpur,80.95,66.81,120.28,96.6,3076,1978,FAST,NORMAL,0,0,NONE
GT-025,MID,Rakesh Gupta,Mumbai-Goa,52.88,78.09,19.16,86.3,3177,2142,MODERATE,NORMAL,0,0,NONE
GT-014,OLD,Lokesh Verma,Goa-Pune,36.8,40.58,6.96,81.3,5172,2931,MODERATE,LOW,0,0,NONE
GT-021,MID,Suresh Yadav,Solapur-Nagpur,74.74,70.61,29.47,77.3,4769,2332,FAST,NORMAL,1,0,NONE
GT-031,MID,Arjun Verma,Pune-Solapur,75.34,44.81,24.51,88.3,5374,2953,FAST,LOW,0,0,NONE
GT-033,MID,Pradeep Nair,Pune-Solapur,48.87,40.5,16.54,80.5,2174,2722,MODERATE,LOW,0,0,NONE
GT-044,NEW,Satish Kumar,Nashik-Aurangabad,30.81,72.01,36.85,90.1,7028,1989,MODERATE,NORMAL,0,0,NONE
GT-035,MID,Prakash Nair,Mumbai-Aurangabad,89.63,39.0,28.23,76.7,7373,2896,FAST,LOW,1,0,NONE
GT-010,OLD,Rakesh Gupta,Pune-Aurangabad,41.59,61.26,7.41,75.1,2696,3593,MODERATE,NORMAL,0,0,NONE
GT-017,OLD,Prakash Nair,Mumbai-Aurangabad,96.78,59.64,18.1,67.8,4677,3793,OVERSPEEDING,NORMAL,1,0,NONE
GT-004,OLD,Mahesh Iyer,Mumbai-Aurangabad,91.74,54.6,28.4,72.9,5491,3885,OVERSPEEDING,NORMAL,1,0,NONE
GT-043,NEW,Deepak Tiwari,Goa-Pune,114.18,55.17,87.9,99.0,549,1463,OVERSPEEDING,NORMAL,1,1,CRITICAL
GT-017,OLD,Navin Joshi,Nashik-Nagpur,93.46,47.4,17.22,75.3,2551,3468,OVERSPEEDING,LOW,1,0,NONE
GT-031,MID,Prem Chauhan,Pune-Solapur,93.59,36.57,60.81,88.5,6917,2615,OVERSPEEDING,LOW,1,0,NONE
GT-026,MID,Mukesh Singh,Mumbai-Pune,99.73,44.44,42.55,81.7,4920,2304,OVERSPEEDING,LOW,1,0,NONE
GT-005,OLD,Dinesh Shukla,Mumbai-Nagpur,88.99,22.42,14.64,76.9,8773,3983,FAST,LOW,1,0,NONE
GT-047,NEW,Rohit Chauhan,Mumbai-Aurangabad,76.93,67.69,71.63,97.5,989,1646,FAST,NORMAL,1,0,NONE
GT-029,MID,Ramesh Pandey,Mumbai-Solapur,80.98,49.19,48.46,81.0,8827,2655,FAST,LOW,0,0,NONE
GT-010,OLD,Harish Tomar,Pune-Nagpur,92.65,22.13,19.38,68.2,9465,3632,OVERSPEEDING,LOW,1,0,NONE
GT-031,MID,Vikram Sharma,Pune-Kolhapur,71.86,65.76,35.0,80.6,7307,3225,FAST,NORMAL,0,0,NONE
GT-009,OLD,Mukesh Singh,Mumbai-Aurangabad,88.47,45.6,18.64,60.3,7454,3642,FAST,LOW,1,0,NONE
GT-007,OLD,Manoj Gupta,Pune-Nagpur,38.07,15.71,8.14,72.5,4015,3657,MODERATE,CRITICAL,0,0,NONE
GT-026,MID,Amit Singh,Mumbai-Nagpur,35.66,57.37,10.73,82.6,3600,2456,MODERATE,NORMAL,0,0,NONE
GT-002,OLD,Naresh Bhatia,Pune-Solapur,83.51,18.19,14.9,60.3,3461,3840,FAST,CRITICAL,0,0,NONE
GT-019,MID,Suresh Yadav,Nashik-Nagpur,84.81,36.37,29.02,77.9,7235,2704,FAST,LOW,1,0,NONE
GT-034,MID,Harish Tomar,Pune-Kolhapur,62.87,74.66,22.37,88.2,4887,2060,FAST,NORMAL,0,0,NONE
GT-020,MID,Satish Kumar,Pune-Nagpur,83.05,60.88,53.62,83.0,5992,2693,FAST,NORMAL,1,0,NONE
GT-004,OLD,Harish Tomar,Pune-Kolhapur,118.24,27.55,38.19,65.6,4173,3778,OVERSPEEDING,LOW,1,1,CRITICAL
GT-031,MID,Umesh Kapoor,Goa-Pune,81.89,49.85,25.2,86.4,5267,2972,FAST,LOW,1,0,NONE
GT-011,OLD,Dinesh Shukla,Pune-Kolhapur,98.91,31.62,16.29,81.5,6593,3137,OVERSPEEDING,LOW,1,0,NONE
GT-006,OLD,Ramesh Pandey,Mumbai-Aurangabad,36.23,58.93,8.73,68.6,2783,3427,MODERATE,NORMAL,0,0,NONE
GT-027,MID,Pradeep Nair,Mumbai-Aurangabad,65.88,40.73,24.67,88.1,1880,2110,FAST,LOW,0,0,NONE
GT-019,MID,Rohit Chauhan,Nagpur-Aurangabad,64.79,48.16,20.31,81.7,8578,2722,FAST,LOW,0,0,NONE
GT-009,OLD,Amit Singh,Solapur-Nagpur,115.77,32.96,23.4,66.1,6795,3409,OVERSPEEDING,LOW,1,1,CRITICAL
GT-028,MID,Deepak Tiwari,Aurangabad-Kolhapur,69.66,57.97,25.63,79.9,4477,2667,FAST,NORMAL,0,0,NONE
GT-017,OLD,Manoj Gupta,Aurangabad-Kolhapur,38.11,41.5,6.46,69.9,8339,3419,MODERATE,LOW,0,0,NONE
GT-049,NEW,Deepak Tiwari,Goa-Pune,43.85,94.4,27.88,100.0,9802,1284,MODERATE,NORMAL,0,0,NONE
GT-050,NEW,Rajesh Kumar,Mumbai-Nagpur,70.13,87.5,48.4,100.0,5802,1819,FAST,NORMAL,1,0,NONE
GT-033,MID,Ravi Patel,Pune-Nagpur,102.46,59.43,50.03,81.4,5217,2765,OVERSPEEDING,NORMAL,1,1,WARNING
GT-015,OLD,Arjun Verma,Pune-Aurangabad,74.49,38.6,16.63,73.7,6006,3289,FAST,LOW,1,0,NONE
GT-036,NEW,Prem Chauhan,Pune-Nashik,73.2,74.96,125.56,88.0,7419,2120,FAST,NORMAL,0,0,NONE
GT-018,MID,Prakash Nair,Goa-Pune,82.44,68.77,31.42,84.7,1338,2844,FAST,NORMAL,1,0,NONE
GT-035,MID,Rakesh Gupta,Nagpur-Aurangabad,64.12,75.59,20.38,83.0,1633,2957,FAST,NORMAL,0,0,NONE
GT-003,OLD,Suresh Yadav,Pune-Solapur,73.55,15.59,11.6,75.3,6921,2888,FAST,CRITICAL,0,0,NONE
GT-011,OLD,Sanjay Mishra,Nashik-Aurangabad,45.81,25.13,8.88,77.9,2660,2831,MODERATE,LOW,0,0,NONE
GT-013,OLD,Suresh Yadav,Nashik-Nagpur,97.32,42.41,26.46,72.1,9728,2781,OVERSPEEDING,LOW,1,0,NONE
GT-024,MID,Amit Singh,Pune-Kolhapur,53.04,61.11,24.11,83.8,5666,2321,MODERATE,NORMAL,0,0,NONE
GT-018,MID,Ganesh Rao,Pune-Kolhapur,85.3,68.49,29.7,85.1,2571,2599,FAST,NORMAL,1,0,NONE
GT-006,OLD,Rakesh Gupta,Nashik-Nagpur,66.79,37.66,16.05,66.0,3040,3655,FAST,LOW,0,0,NONE
GT-014,OLD,Navin Joshi,Nagpur-Aurangabad,34.58,39.94,5.97,68.2,1744,3057,MODERATE,LOW,0,0,NONE
GT-049,NEW,Umesh Kapoor,Solapur-Nagpur,84.51,87.84,124.83,98.0,8180,1743,FAST,NORMAL,0,0,NONE
GT-022,MID,Manoj Gupta,Pune-Nashik,64.27,44.42,27.68,77.2,5416,2337,FAST,LOW,0,0,NONE
GT-022,MID,Umesh Kapoor,Mumbai-Nashik,68.38,36.91,20.85,72.7,5104,2904,FAST,LOW,0,0,NONE
GT-023,MID,Vinod Yadav,Mumbai-Pune,110.82,41.83,45.36,76.1,3358,2443,OVERSPEEDING,LOW,1,1,CRITICAL
GT-047,NEW,Deepak Tiwari,Pune-Solapur,104.49,55.66,57.38,100.0,2692,1821,OVERSPEEDING,NORMAL,1,1,WARNING
GT-044,NEW,Navin Joshi,Mumbai-Aurangabad,83.81,51.37,47.51,89.3,1060,1773,FAST,NORMAL,1,0,NONE
GT-039,NEW,Santosh Joshi,Pune-Nagpur,58.28,69.39,70.9,98.0,1347,1288,MODERATE,NORMAL,0,0,NONE
GT-047,NEW,Vikram Sharma,Nagpur-Aurangabad,61.91,95.47,109.0,100.0,5031,1899,FAST,NORMAL,0,0,NONE
GT-041,NEW,Satish Kumar,Pune-Nagpur,76.97,86.52,43.51,97.9,7390,1459,FAST,NORMAL,1,0,NONE
GT-017,OLD,Deepak Tiwari,Kolhapur-Mumbai,96.31,56.61,20.56,75.1,6405,3677,OVERSPEEDING,NORMAL,1,0,NONE
GT-011,OLD,Umesh Kapoor,Aurangabad-Kolhapur,88.86,63.98,20.08,77.4,814,2930,FAST,NORMAL,1,0,NONE
GT-044,NEW,Mahesh Iyer,Mumbai-Solapur,71.15,70.39,38.15,92.7,7742,1834,FAST,NORMAL,0,0,NONE
GT-010,OLD,Suresh Yadav,Mumbai-Aurangabad,70.45,42.55,13.89,76.0,6682,3494,FAST,LOW,0,0,NONE
GT-013,OLD,Manoj Gupta,Pune-Nashik,58.93,18.59,11.91,74.5,6616,2521,MODERATE,CRITICAL,0,0,NONE
GT-015,OLD,Naresh Bhatia,Pune-Nagpur,116.9,45.78,20.75,73.0,2944,3137,OVERSPEEDING,LOW,1,1,CRITICAL
GT-042,NEW,Satish Kumar,Nashik-Nagpur,69.83,64.99,126.73,94.1,3238,1547,FAST,NORMAL,0,0,NONE
GT-033,MID,Prakash Nair,Mumbai-Nashik,112.35,58.07,33.25,77.2,7938,3076,OVERSPEEDING,NORMAL,1,1,CRITICAL
GT-003,OLD,Naresh Bhatia,Pune-Nashik,65.14,34.43,20.46,74.0,3435,2876,FAST,LOW,0,0,NONE
GT-046,NEW,Santosh Joshi,Pune-Aurangabad,60.41,78.69,33.3,100.0,4392,1796,FAST,NORMAL,0,0,NONE
GT-032,MID,Amit Singh,Mumbai-Pune,72.97,78.09,45.75,85.7,6861,2396,FAST,NORMAL,1,0,NONE
GT-037,NEW,Prakash Nair,Kolhapur-Mumbai,59.24,97.4,45.46,93.4,5818,1371,MODERATE,NORMAL,0,0,NONE
GT-045,NEW,Girish Patil,Pune-Kolhapur,39.52,63.7,27.46,91.7,705,2068,MODERATE,NORMAL,0,0,NONE
GT-036,NEW,Manoj Gupta,Nashik-Nagpur,78.85,83.91,57.68,99.7,7075,1965,FAST,NORMAL,1,0,NONE
GT-004,OLD,Prem Chauhan,Nagpur-Aurangabad,65.5,27.68,11.03,65.7,7069,3568,FAST,LOW,0,0,NONE
GT-030,MID,Dinesh Shukla,Pune-Solapur,44.67,45.67,29.03,83.3,4502,2177,MODERATE,LOW,0,0,NONE
GT-022,MID,Dinesh Shukla,Solapur-Nagpur,69.23,69.03,23.56,78.9,9633,2616,FAST,NORMAL,0,0,NONE
GT-021,MID,Anil Dubey,Pune-Aurangabad,72.12,73.02,21.85,75.0,1696,2585,FAST,NORMAL,0,0,NONE
GT-032,MID,Vinod Yadav,Mumbai-Goa,37.6,40.73,15.94,81.4,2477,2867,MODERATE,LOW,0,0,NONE
GT-045,NEW,Amit Singh,Nashik-Aurangabad,89.82,52.49,133.66,93.2,1229,1971,FAST,NORMAL,1,0,NONE
GT-027,MID,Mukesh Singh,Pune-Solapur,86.31,45.85,29.21,88.8,9111,2354,FAST,LOW,1,0,NONE
GT-010,OLD,Prakash Nair,Nashik-Aurangabad,74.24,19.81,19.68,73.6,7915,3884,FAST,CRITICAL,1,0,NONE
GT-001,OLD,Anil Dubey,Pune-Nagpur,84.52,20.48,15.9,76.9,567,2650,FAST,LOW,1,0,NONE
GT-039,NEW,Naresh Bhatia,Nashik-Aurangabad,103.85,62.89,57.79,100.0,2185,941,OVERSPEEDING,NORMAL,1,1,WARNING
GT-005,OLD,Ganesh Rao,Aurangabad-Kolhapur,41.57,63.64,7.8,76.5,1966,3449,MODERATE,NORMAL,0,0,NONE
GT-020,MID,Santosh Joshi,Mumbai-Nagpur,84.85,31.28,27.45,83.7,1584,2471,FAST,LOW,1,0,NONE
GT-009,OLD,Harish Tomar,Aurangabad-Kolhapur,101.4,60.28,18.96,71.2,9021,3336,OVERSPEEDING,NORMAL,1,1,WARNING
GT-021,MID,Lokesh Verma,Mumbai-Nashik,48.45,48.82,15.71,81.5,1321,2404,MODERATE,LOW,0,0,NONE
GT-047,NEW,Anil Dubey,Nagpur-Aurangabad,32.88,90.42,38.77,100.0,814,1776,MODERATE,NORMAL,0,0,NONE
GT-024,MID,Naresh Bhatia,Pune-Solapur,92.41,43.57,49.02,86.9,1635,2597,OVERSPEEDING,LOW,1,0,NONE
GT-033,MID,Satish Kumar,Pune-Solapur,57.4,59.43,17.58,74.0,8368,2687,MODERATE,NORMAL,0,0,NONE
GT-048,NEW,Ravi Patel,Kolhapur-Mumbai,70.5,52.01,84.53,99.8,3948,1545,FAST,NORMAL,0,0,NONE
GT-018,MID,Naresh Bhatia,Nashik-Nagpur,78.93,64.51,23.62,87.9,2441,1887,FAST,NORMAL,0,0,NONE
GT-022,MID,Ramesh Pandey,Mumbai-Aurangabad,89.86,33.17,32.02,75.9,4715,2641,FAST,LOW,1,0,NONE
GT-043,NEW,Prakash Nair,Aurangabad-Kolhapur,65.96,86.89,37.95,96.3,9579,964,FAST,NORMAL,0,0,NONE
GT-008,OLD,Prakash Nair,Pune-Solapur,68.61,47.52,14.99,73.9,4107,3104,FAST,LOW,0,0,NONE
GT-049,NEW,Ganesh Rao,Pune-Nagpur,63.3,53.92,82.1,100.0,3081,1043,FAST,NORMAL,0,0,NONE
GT-021,MID,Prem Chauhan,Pune-Nashik,63.92,76.37,23.68,83.7,2008,2606,FAST,NORMAL,0,0,NONE
GT-048,NEW,Sanjay Mishra,Mumbai-Pune,81.78,59.29,146.04,91.6,9512,1404,FAST,NORMAL,0,0,NONE
GT-022,MID,Satish Kumar,Mumbai-Pune,101.8,36.22,29.14,76.5,7232,2513,OVERSPEEDING,LOW,1,1,WARNING
GT-022,MID,Prakash Nair,Mumbai-Nagpur,69.33,58.31,26.7,76.8,6757,2458,FAST,NORMAL,0,0,NONE
GT-021,MID,Ramesh Pandey,Nashik-Aurangabad,62.09,63.29,26.5,80.5,1023,2383,FAST,NORMAL,0,0,NONE
GT-047,NEW,Satish Kumar,Nagpur-Aurangabad,111.83,50.77,189.86,95.8,2087,1799,OVERSPEEDING,NORMAL,1,1,CRITICAL
GT-005,OLD,Amit Singh,Aurangabad-Kolhapur,97.04,22.87,19.41,74.5,2084,3425,OVERSPEEDING,LOW,1,0,NONE
GT-031,MID,Prakash Nair,Mumbai-Nagpur,43.69,69.64,23.99,83.3,2095,2991,MODERATE,NORMAL,0,0,NONE
GT-037,NEW,Harish Tomar,Kolhapur-Mumbai,38.62,66.93,21.49,94.2,9800,1327,MODERATE,NORMAL,0,0,NONE
GT-019,MID,Amit Singh,Goa-Pune,61.85,79.1,21.92,84.5,1896,2635,FAST,NORMAL,0,0,NONE
GT-042,NEW,Arjun Verma,Mumbai-Nagpur,70.15,80.11,49.02,92.2,6337,1346,FAST,NORMAL,1,0,NONE
GT-021,MID,Santosh Joshi,Nashik-Nagpur,68.6,38.94,21.83,81.1,5286,2411,FAST,LOW,0,0,NONE
GT-011,OLD,Manoj Gupta,Goa-Pune,82.38,44.71,20.0,75.8,8587,2740,FAST,LOW,1,0,NONE
GT-012,OLD,Amit Singh,Nashik-Nagpur,57.31,29.65,15.41,84.2,3287,2736,MODERATE,LOW,0,0,NONE
GT-049,NEW,Santosh Joshi,Pune-Aurangabad,109.66,51.92,68.07,100.0,7792,1605,OVERSPEEDING,NORMAL,1,1,WARNING
GT-035,MID,Rohit Chauhan,Goa-Pune,54.51,48.25,22.77,88.4,9429,2310,MODERATE,LOW,0,0,NONE
GT-041,NEW,Satish Kumar,Nagpur-Aurangabad,59.76,90.17,68.93,94.3,2220,1622,MODERATE,NORMAL,0,0,NONE
GT-033,MID,Vinod Yadav,Pune-Nagpur,67.02,38.89,40.62,79.5,9525,2709,FAST,LOW,0,0,NONE
GT-017,OLD,Sanjay Mishra,Pune-Nagpur,57.66,51.19,12.42,69.2,2361,3617,MODERATE,NORMAL,0,0,NONE
GT-029,MID,Ramesh Pandey,Pune-Nashik,40.38,52.21,13.33,78.3,1729,2601,MODERATE,NORMAL,0,0,NONE
GT-050,NEW,Harish Tomar,Mumbai-Aurangabad,76.97,58.17,46.06,95.4,1273,1637,FAST,NORMAL,0,0,NONE
GT-021,MID,Sanjay Mishra,Pune-Solapur,63.8,57.05,18.47,84.7,7357,2508,FAST,NORMAL,0,0,NONE
GT-021,MID,Amit Singh,Nashik-Aurangabad,48.15,51.76,15.44,75.2,1595,2140,MODERATE,NORMAL,0,0,NONE
GT-042,NEW,Umesh Kapoor,Mumbai-Pune,51.17,60.57,29.31,96.1,8811,1459,MODERATE,NORMAL,0,0,NONE
GT-026,MID,Pradeep Nair,Mumbai-Aurangabad,83.06,66.12,35.03,84.2,2159,2314,FAST,NORMAL,0,0,NONE
GT-050,NEW,Deepak Tiwari,Mumbai-Solapur,83.7,73.97,70.75,98.4,2743,1686,FAST,NORMAL,1,0,NONE
GT-007,OLD,Mukesh Singh,Nashik-Aurangabad,94.93,39.89,22.35,71.7,3433,3624,OVERSPEEDING,LOW,1,0,NONE
GT-028,MID,Arjun Verma,Aurangabad-Kolhapur,74.48,78.03,25.1,93.0,7771,2369,FAST,NORMAL,0,0,NONE
GT-017,OLD,Pradeep Nair,Pune-Nagpur,76.14,62.77,13.65,71.8,6125,2988,FAST,NORMAL,0,0,NONE
GT-042,NEW,Girish Patil,Pune-Aurangabad,50.92,84.37,35.46,97.8,2920,1509,MODERATE,NORMAL,0,0,NONE
GT-007,OLD,Manoj Gupta,Pune-Kolhapur,102.67,17.68,21.08,74.1,7064,3541,OVERSPEEDING,CRITICAL,1,1,WARNING
GT-007,OLD,Pradeep Nair,Mumbai-Nashik,44.04,60.43,8.18,71.8,9132,3712,MODERATE,NORMAL,0,0,NONE
GT-016,OLD,Suresh Yadav,Mumbai-Nagpur,96.85,36.7,25.57,75.4,8090,3444,OVERSPEEDING,LOW,1,0,NONE
GT-011,OLD,Bharat Sharma,Nashik-Nagpur,58.95,23.23,14.36,77.9,1149,3244,MODERATE,LOW,0,0,NONE
GT-038,NEW,Bharat Sharma,Goa-Pune,93.64,87.36,103.13,94.2,3706,1175,OVERSPEEDING,NORMAL,1,0,NONE
GT-031,MID,Mukesh Singh,Kolhapur-Mumbai,71.07,62.12,27.78,87.6,8466,2838,FAST,NORMAL,0,0,NONE
GT-021,MID,Girish Patil,Mumbai-Solapur,94.5,79.12,43.05,89.5,5558,2395,OVERSPEEDING,NORMAL,1,0,NONE
GT-041,NEW,Rajesh Kumar,Solapur-Nagpur,45.59,62.11,58.75,98.8,9881,1474,MODERATE,NORMAL,0,0,NONE
GT-006,OLD,Vinod Yadav,Pune-Aurangabad,76.23,60.51,19.7,75.9,2595,3350,FAST,NORMAL,0,0,NONE
GT-034,MID,Vikram Sharma,Goa-Pune,45.38,36.31,17.99,81.5,6846,2477,MODERATE,LOW,0,0,NONE
GT-028,MID,Suresh Yadav,Pune-Nashik,78.89,50.0,50.25,85.5,9029,2720,FAST,LOW,1,0,NONE
GT-033,MID,Satish Kumar,Pune-Nagpur,109.36,60.92,50.37,78.8,677,2978,OVERSPEEDING,NORMAL,1,1,WARNING
GT-035,MID,Harish Tomar,Mumbai-Solapur,86.34,34.82,32.4,83.5,7223,2632,FAST,LOW,1,0,NONE
GT-004,OLD,Ganesh Rao,Nashik-Aurangabad,40.11,24.24,11.61,74.2,7510,3359,MODERATE,LOW,0,0,NONE
GT-037,NEW,Lokesh Verma,Kolhapur-Mumbai,80.03,96.54,110.84,99.0,8149,822,FAST,NORMAL,0,0,NONE
GT-041,NEW,Girish Patil,Pune-Solapur,45.58,85.7,60.21,100.0,3805,1329,MODERATE,NORMAL,0,0,NONE
GT-029,MID,Amit Singh,Nashik-Nagpur,64.8,33.38,24.55,85.7,2326,2207,FAST,LOW,0,0,NONE
GT-033,MID,Umesh Kapoor,Solapur-Nagpur,67.87,63.21,27.91,72.9,8359,3049,FAST,NORMAL,0,0,NONE
GT-044,NEW,Manoj Gupta,Kolhapur-Mumbai,71.79,86.91,60.08,97.6,5921,2020,FAST,NORMAL,0,0,NONE
GT-007,OLD,Prem Chauhan,Nagpur-Aurangabad,102.82,28.56,26.5,73.6,1745,3390,OVERSPEEDING,LOW,1,1,WARNING
GT-019,MID,Deepak Tiwari,Nashik-Aurangabad,84.62,76.51,45.77,77.3,9636,2923,FAST,NORMAL,0,0,NONE
GT-015,OLD,Pradeep Nair,Mumbai-Pune,73.05,52.47,18.89,79.9,3849,2974,FAST,NORMAL,1,0,NONE
GT-003,OLD,Mahesh Iyer,Nashik-Aurangabad,99.62,40.3,18.39,61.0,3122,3058,OVERSPEEDING,LOW,1,0,NONE
GT-038,NEW,Sanjay Mishra,Solapur-Nagpur,105.53,91.91,89.97,99.6,3667,1249,OVERSPEEDING,NORMAL,1,1,WARNING
GT-045,NEW,Mahesh Iyer,Mumbai-Pune,39.52,56.88,23.95,90.9,2486,2213,MODERATE,NORMAL,0,0,NONE
GT-008,OLD,Satish Kumar,Pune-Aurangabad,81.92,23.96,14.55,64.6,7337,3367,FAST,LOW,1,0,NONE
GT-009,OLD,Mahesh Iyer,Mumbai-Goa,76.08,57.2,12.0,73.1,7881,3538,FAST,NORMAL,1,0,NONE
GT-001,OLD,Harish Tomar,Mumbai-Nagpur,105.23,58.55,17.78,81.8,8647,2738,OVERSPEEDING,NORMAL,1,1,WARNING
GT-029,MID,Navin Joshi,Kolhapur-Mumbai,55.31,43.21,18.54,88.7,8162,2700,MODERATE,LOW,0,0,NONE
GT-006,OLD,Lokesh Verma,Solapur-Nagpur,84.22,16.76,18.51,71.6,3633,3660,FAST,CRITICAL,0,0,NONE
GT-037,NEW,Prakash Nair,Nashik-Nagpur,108.03,57.19,59.39,98.6,5705,1225,OVERSPEEDING,NORMAL,1,1,WARNING
GT-031,MID,Ramesh Pandey,Mumbai-Goa,94.79,58.72,46.08,81.4,5716,2851,OVERSPEEDING,NORMAL,1,0,NONE
GT-023,MID,Navin Joshi,Mumbai-Aurangabad,57.61,51.0,31.53,89.6,8217,2244,MODERATE,NORMAL,0,0,NONE
GT-031,MID,Rajesh Kumar,Pune-Aurangabad,82.35,72.07,23.88,81.5,4155,2980,FAST,NORMAL,0,0,NONE
GT-030,MID,Santosh Joshi,Kolhapur-Mumbai,38.96,37.53,11.59,90.7,9097,2008,MODERATE,LOW,0,0,NONE
GT-048,NEW,Ravi Patel,Nagpur-Aurangabad,119.98,74.59,224.68,100.0,5060,1475,OVERSPEEDING,NORMAL,1,1,CRITICAL
GT-016,OLD,Mahesh Iyer,Pune-Nagpur,74.72,35.41,17.54,73.0,4637,3328,FAST,LOW,0,0,NONE
GT-020,MID,Ramesh Pandey,Pune-Kolhapur,65.73,53.55,42.11,78.4,8087,2482,FAST,NORMAL,0,0,NONE
GT-048,NEW,Prem Chauhan,Pune-Solapur,80.6,55.06,43.29,99.8,7325,1492,FAST,NORMAL,0,0,NONE
GT-041,NEW,Satish Kumar,Pune-Nagpur,73.52,67.3,128.08,96.0,1167,1741,FAST,NORMAL,0,0,NONE
GT-031,MID,Girish Patil,Pune-Solapur,60.61,35.21,17.81,81.9,3029,2833,FAST,LOW,0,0,NONE
GT-018,MID,Suresh Yadav,Mumbai-Nagpur,83.16,38.86,38.15,79.0,8774,2390,FAST,LOW,0,0,NONE
GT-036,NEW,Suresh Yadav,Nagpur-Aurangabad,114.28,59.75,85.22,92.0,2703,2074,OVERSPEEDING,NORMAL,1,1,CRITICAL
GT-006,OLD,Pradeep Nair,Mumbai-Goa,51.61,17.09,8.34,75.9,2163,3382,MODERATE,CRITICAL,0,0,NONE
GT-048,NEW,Anil Dubey,Pune-Aurangabad,40.78,94.61,21.27,97.5,4731,1412,MODERATE,NORMAL,0,0,NONE
GT-028,MID,Ravi Patel,Pune-Kolhapur,71.19,64.03,22.41,83.2,3686,2404,FAST,NORMAL,0,0,NONE
GT-008,OLD,Deepak Tiwari,Mumbai-Nagpur,47.34,31.68,9.26,74.2,8703,3143,MODERATE,LOW,0,0,NONE
GT-038,NEW,Girish Patil,Kolhapur-Mumbai,43.23,59.61,36.95,91.0,2601,1163,MODERATE,NORMAL,0,0,NONE
GT-026,MID,Bharat Sharma,Nashik-Aurangabad,111.93,56.84,65.8,86.7,8608,2077,OVERSPEEDING,NORMAL,1,1,CRITICAL
GT-012,OLD,Manoj Gupta,Nashik-Aurangabad,59.04,25.42,11.46,78.1,4834,2965,MODERATE,LOW,0,0,NONE
GT-006,OLD,Arjun Verma,Mumbai-Nagpur,108.98,32.38,20.55,76.5,2372,3397,OVERSPEEDING,LOW,1,1,WARNING
GT-014,OLD,Rajesh Kumar,Pune-Kolhapur,78.28,25.62,12.7,70.5,3074,3045,FAST,LOW,0,0,NONE
GT-033,MID,Prem Chauhan,Pune-Nashik,82.25,47.99,24.44,86.1,7078,2840,FAST,LOW,0,0,NONE
GT-006,OLD,Mukesh Singh,Kolhapur-Mumbai,97.52,19.66,15.23,76.3,1241,3433,OVERSPEEDING,CRITICAL,1,0,NONE
GT-009,OLD,Naresh Bhatia,Nashik-Aurangabad,31.46,53.56,7.68,65.9,4132,3333,MODERATE,NORMAL,0,0,NONE
